Dataset,Algorithm,Time(ms),DFS,Relax,Push,Pop
large1.json,SCC,0,509,20,0,0,0
large1.json,Topo,1,036,0,0,20,20
large1.json,DAG-SP,0,535,0,4,0,0
large2.json,SCC,0,025,25,0,0,0
large2.json,Topo,0,089,0,0,25,25
large2.json,DAG-SP,0,065,0,2,0,0
large3.json,SCC,0,023,22,0,0,0
large3.json,Topo,0,065,0,0,18,18
large3.json,DAG-SP,0,016,0,2,0,0
medium1.json,SCC,0,013,14,0,0,0
medium1.json,Topo,0,030,0,0,10,10
medium1.json,DAG-SP,0,029,0,2,0,0
medium2.json,SCC,0,016,15,0,0,0
medium2.json,Topo,0,090,0,0,12,12
medium2.json,DAG-SP,0,037,0,2,0,0
medium3.json,SCC,0,011,12,0,0,0
medium3.json,Topo,0,059,0,0,10,10
medium3.json,DAG-SP,0,030,0,2,0,0
small1.json,SCC,0,008,8,0,0,0
small1.json,Topo,0,032,0,0,8,8
small1.json,DAG-SP,0,011,0,4,0,0
small2.json,SCC,0,008,7,0,0,0
small2.json,Topo,0,021,0,0,5,5
small2.json,DAG-SP,0,009,0,2,0,0
small3.json,SCC,0,008,9,0,0,0
small3.json,Topo,0,018,0,0,7,7
small3.json,DAG-SP,0,008,0,2,0,0
tasks.json,SCC,0,007,8,0,0,0
tasks.json,Topo,0,015,0,0,6,6
tasks.json,DAG-SP,0,007,0,2,0,0
